TDB企業コード,企業名,所在地,TDB産業大分類,決算期年,決算期月,従業員数,資産合計,流動資産,当座資産,現金.預金,売掛金,棚卸資産,その他流動資産,固定資産,有形固定資産,負債純資産合計,負債合計,流動負債,支払手形,短期借入金,長期借入金,純資産合計,株主資本,利益剰余金,営業収益,営業費用,売上原価,売上総利益,販売費及び一般管理費,役員報酬,給料手当,役員賞与,賞与,減価償却費,営業利益,営業外費用,経常利益,税引前当期純利益,当期純利益,ops
580110669,株式会社　アーク,27128_大阪府大阪市中央区,F_製造業,2012,3,487,57648000,14739000,13946000,10179000,3250000,360000,429000,42908000,1305000,57648000,37719000,1658000,NA,NA,13957000,19928000,20084000,-8050000,10326000,9463000,7761000,2563000,1702000,140000,655000,NA,32000,21000,861000,924000,626000,-2335000,-8050000,8.33979077876792
580337181,株式会社　デサント,27109_大阪府大阪市天王寺区,G_卸・小売業，飲食店,2012,3,734,58303000,39111000,29765000,14446000,14369000,8861000,489000,19192000,9583000,58303000,19241000,16171000,NA,NA,1500000,39062000,39262000,10916000,55462000,53081000,31461000,24001000,21620000,NA,6818000,NA,NA,733000,2380000,113000,2466000,2330000,1337000,4.29122642530021
580328557,高圧ガス工業　株式会社,27127_大阪府大阪市北区,G_卸・小売業，飲食店,2012,3,481,59874452,36705787,35152216,11787086,14828934,1198383,394183,23168665,15382388,59874452,24655321,21118243,4349305,1710000,3e+06,35219131,34528536,29124301,59758072,56273679,48984634,10773439,7289045,NA,1232182,NA,208436,898362,3484393,261699,4087636,3947475,2168100,5.83083226261329
580024346,ダイソー　株式会社,27106_大阪府大阪市西区,F_製造業,2012,3,531,60526000,31559000,21010000,3766000,11083000,7413000,3131000,28966000,15505000,60526000,27973000,24865000,338000,7730000,365000,32553000,31269000,12641000,55958000,52505000,44857000,11100000,7648000,128000,1306000,NA,NA,242000,3451000,478000,3640000,2922000,1637000,6.16723555587326
580575502,アズワン　株式会社,27106_大阪府大阪市西区,G_卸・小売業，飲食店,2012,3,327,60555074,40302996,35228739,17666605,8894308,4426421,672073,20252078,6226346,60555074,23442498,13439715,547008,600000,8675000,37112575,36748411,29417050,46080644,40609525,32180178,13900466,8429347,2162944,NA,NA,NA,610155,5471119,997870,4951110,4965624,2766465,11.8729221753064
586739362,サムティ　株式会社,27123_大阪府大阪市淀川区,I_不動産業,2012,11,70,61423000,23838000,3974000,3880000,NA,18170000,1695000,37585000,31796000,61423000,42973000,12826000,560000,2208000,29032000,18450000,18361000,6715000,9187000,7816000,6111000,3075000,1705000,242000,216000,NA,50000,32000,1369000,1191000,262000,480000,498000,14.9031134334857
570067831,フジ住宅　株式会社,27202_大阪府岸和田市,I_不動産業,2012,3,354,61749959,57517964,9675590,9597909,NA,46488396,1389259,4231995,3279620,61749959,42648648,17875553,312107,3037000,23187850,19101311,19118937,9231691,63780487,59312566,51855943,11924544,7456623,123524,2277049,NA,NA,81321,4467921,299765,4488510,4421046,2530743,7.00515347272278
580008422,コニシ　株式会社,27128_大阪府大阪市中央区,F_製造業,2012,3,679,61776000,44503000,38041000,11447000,17771000,4885000,1622000,17273000,8552000,61776000,26767000,23703000,459000,NA,NA,35009000,34745000,26580000,76709000,73279000,64056000,12652000,9223000,222000,2031000,NA,425000,153000,3428000,219000,3590000,3283000,1930000,4.46889503050529
580516950,ダイハツディーゼル　株式会社,27127_大阪府大阪市北区,F_製造業,2012,3,857,62641814,44780318,30307349,13910394,15976334,8912930,5609134,17861495,12924021,62641814,42578194,30653368,6215611,5730000,6840200,20063619,20042468,15465689,51997679,48950614,41385235,10612444,7565379,NA,1450506,NA,328132,527574,3047064,225418,3945809,3910644,2291829,5.86000002038553
580179733,ザ・パック　株式会社,27115_大阪府大阪市東成区,F_製造業,2012,12,817,63919000,37179000,29973000,7231000,16508000,5350000,1885000,26739000,20609000,63919000,27499000,24397000,7526000,300000,562000,36420000,35888000,30183000,77873000,73132000,60377000,17495000,12755000,298000,3303000,NA,NA,850000,4740000,26000,5123000,5233000,3001000,6.08691185535237
